merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
tali goya,1,43.0,193850.0,0.72,0.65,0.14,0.49,0.0,0.11,0.41,161.04,latino,0,0,0,0,0
talib kweli,1,0.0,207946.0,0.72,0.79,0.3,0.02,0.0,0.46,0.63,98.05,hardcore,0,0,0,0,0
talita barreto,5,30.2,199626.0,0.65,0.44,0.07,0.68,0.0,0.1,0.46,133.22,groove,0,0,0,0,0
talitha.,2,37.0,184678.5,0.64,0.54,0.08,0.73,0.0,0.13,0.2,113.93,malay,0,0,0,0,0
talitha.;oxlee,1,52.0,158297.0,0.74,0.64,0.34,0.41,0.0,0.16,0.43,94.09,malay,0,0,0,0,0
talitha.;yewy,1,52.0,187898.0,0.76,0.4,0.06,0.22,0.0,0.09,0.26,101.98,malay,0,0,0,0,0
talk talk,4,31.75,247126.5,0.58,0.85,0.04,0.08,0.43,0.33,0.89,113.64,synth-pop,0,0,0,0,0
talking heads,6,20.59,266341.59,0.72,0.63,0.06,0.09,0.04,0.23,0.91,119.56,punk-rock,0,0,0,0,0
talla 2xlc,1,39.0,227826.0,0.44,0.99,0.07,0.0,0.56,0.44,0.08,138.02,techno,0,0,0,0,0
talla 2xlc;airwalk3r,1,48.0,233043.0,0.55,0.94,0.05,0.02,0.03,0.16,0.12,138.04,techno,0,0,0,0,0
talla 2xlc;alexandra badoi,1,41.0,243478.0,0.52,1.0,0.07,0.01,0.01,0.36,0.17,137.99,techno,0,0,0,0,0
talla 2xlc;junk project,1,29.0,206956.0,0.66,0.95,0.04,0.0,0.15,0.34,0.08,136.03,techno,0,0,0,0,0
talla 2xlc;karl8;andrea monta,1,42.0,206612.0,0.54,0.71,0.05,0.29,0.28,0.13,0.25,123.82,techno,0,0,0,0,0
talla 2xlc;ralphie b,1,44.0,239973.0,0.43,0.96,0.08,0.0,0.84,0.36,0.13,139.98,german,0,0,0,0,0
talla 2xlc;roland klein,1,46.0,223767.0,0.37,0.96,0.05,0.0,0.98,0.74,0.13,140.0,techno,0,0,0,0,0
