merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
!nvite,2,23.0,137367.5,0.82,0.52,0.27,0.5,0.01,0.13,0.42,85.0,study,0,0,0,0,0
"""puppy dog pals"" cast",2,57.5,47966.5,0.7,0.86,0.12,0.1,0.0,0.15,0.92,138.04,children,0,0,0,0,0
"""weird al"" yankovic",15,26.33,246778.33,0.66,0.57,0.11,0.25,0.0,0.19,0.74,117.37,comedy,0,0,0,0,0
#kids;nursery rhymes;nursery rhymes and kids songs,1,34.0,104000.0,0.58,0.49,0.05,0.05,0.79,0.11,0.91,149.91,children,0,0,0,0,0
$affie,1,39.0,134506.0,0.74,0.18,0.1,0.81,0.89,0.1,0.23,148.26,study,0,0,0,0,0
$affie;lofi stu,1,43.0,128785.0,0.82,0.25,0.04,0.88,0.87,0.11,0.28,75.0,study,0,0,0,0,0
&me;rampa;adam port;sofie royer,1,50.0,385103.0,0.77,0.48,0.06,0.0,0.85,0.09,0.16,120.0,deep-house,0,0,0,0,0
'falsettos' 2016 broadway company,1,30.0,308133.0,0.38,0.31,0.04,0.82,0.0,0.11,0.32,81.59,show-tunes,0,0,0,0,0
'til tuesday,1,28.0,261266.0,0.61,0.64,0.03,0.0,0.0,0.08,0.41,106.64,synth-pop,0,0,0,0,0
(dolch),1,22.0,432133.0,0.41,0.62,0.04,0.0,0.0,0.33,0.27,100.04,black-metal,0,0,0,0,0
(g)i-dle,3,72.0,189190.67,0.64,0.83,0.07,0.03,0.0,0.12,0.45,109.68,k-pop,0,0,0,0,0
(hed) p.e.,17,24.41,222003.65,0.61,0.86,0.16,0.02,0.02,0.33,0.52,121.19,industrial,0,0,0,0,0
(hed) p.e.;lajon witherspoon;sevendust,1,26.0,240266.0,0.37,0.96,0.12,0.0,0.0,0.1,0.61,175.15,industrial,0,0,0,0,0
(hed) p.e.;serj tankian;morgan lander,1,23.0,254026.0,0.68,0.69,0.19,0.0,0.0,0.05,0.75,90.87,industrial,0,0,0,0,0
-m-,7,31.57,227024.43,0.57,0.59,0.09,0.41,0.02,0.37,0.43,103.08,french,0,0,0,0,0
04 limited sazabys,1,32.0,113573.0,0.42,0.99,0.22,0.0,0.15,0.22,0.06,112.64,j-rock,0,0,0,0,0
1 trait danger,1,21.0,204000.0,0.69,0.68,0.43,0.07,0.0,0.18,0.69,159.9,comedy,0,0,0,0,0
10 years,4,43.5,216786.5,0.43,0.81,0.05,0.01,0.0,0.22,0.32,155.64,grunge,0,0,0,0,0
10-feet,2,33.33,138226.33,0.5,0.98,0.09,0.05,0.0,0.16,0.64,118.79,j-rock,0,0,0,0,0
10-feet;yabai t-shirts yasan,1,33.0,192760.0,0.36,0.99,0.14,0.0,0.0,0.41,0.32,195.03,j-rock,0,0,0,0,0
100 blaze,1,0.0,156653.0,0.77,0.46,0.44,0.12,0.0,0.14,0.61,148.06,french,0,0,0,0,0
100 blaze;lacrim,1,0.0,235538.0,0.78,0.91,0.35,0.18,0.0,0.11,0.49,139.98,french,0,0,0,0,0
1019;lucio101;omar101;nizi19;karamel19,1,38.0,126757.0,0.72,0.5,0.34,0.05,0.0,0.3,0.42,125.98,german,0,0,0,0,0
102 boyz;chapo102;stacks102;skoob102,1,39.0,190133.0,0.73,0.62,0.28,0.03,0.0,0.11,0.36,79.98,german,0,0,0,0,0
102 boyz;the cratez;chapo102;skoob102;stacks102,1,37.0,159811.0,0.82,0.67,0.15,0.03,0.0,0.07,0.65,75.03,german,0,0,0,0,0
10cc,4,14.0,292379.0,0.55,0.54,0.07,0.28,0.0,0.24,0.63,138.33,blues,0,0,0,0,0
10cm,1,61.0,237266.0,0.36,0.47,0.03,0.74,0.0,0.1,0.26,84.37,indie-pop,0,0,0,0,0
110,1,41.0,248667.0,0.59,0.62,0.03,0.01,0.2,0.32,0.37,85.99,turkish,0,0,0,0,0
12 stones,6,54.89,206337.22,0.33,0.87,0.07,0.11,0.0,0.31,0.4,134.52,grunge,0,0,0,0,0
1200 micrograms,3,35.67,451769.67,0.58,0.93,0.06,0.0,0.68,0.42,0.29,145.34,trance,0,0,0,0,0
1280 almas,1,37.0,277280.0,0.59,0.72,0.03,0.01,0.0,0.11,0.78,109.94,punk-rock,0,0,0,0,0
12am,1,47.0,162858.0,0.59,0.78,0.04,0.15,0.0,0.46,0.18,84.0,soul,0,0,0,0,0
12th planet,1,45.0,135200.0,0.52,0.97,0.51,0.0,0.02,0.12,0.06,75.03,dub,0,0,0,0,0
12th planet;bandlez;barely alive;chibs;dirtyphonics;disciple;dodge & fuski;eliminate;fox stevenson;infekt;modestep;mvrda;myro;oliverse;phaseone;samplifire;terravita;virus syndicate;virtual riot,1,47.0,298400.0,0.59,0.94,0.16,0.0,0.0,0.41,0.34,150.1,dub,0,0,0,0,0
12th planet;katie sky,1,41.0,172800.0,0.53,0.94,0.05,0.03,0.0,0.19,0.12,150.0,dubstep,0,0,0,0,0
13,1,19.0,204166.0,0.73,0.78,0.06,0.0,0.86,0.36,0.14,90.0,club,0,0,0,0,0
13 block,1,32.0,170924.0,0.72,0.5,0.19,0.58,0.0,0.11,0.41,145.04,french,0,0,0,0,0
1349,5,18.0,477754.2,0.19,0.96,0.14,0.0,0.71,0.27,0.11,142.94,black-metal,0,0,0,0,0
13th floor elevators,1,54.0,146737.0,0.43,0.92,0.12,0.01,0.44,0.1,0.68,151.0,garage,0,0,0,0,0
163,1,38.0,192000.0,0.73,0.5,0.05,0.0,0.0,0.1,0.66,104.95,turkish,0,0,0,0,0
16bl,2,46.0,387000.0,0.73,0.49,0.04,0.1,0.73,0.45,0.41,120.86,trance,0,0,0,0,0
175r,2,37.25,224380.0,0.53,0.92,0.09,0.0,0.0,0.12,0.43,128.2,j-rock,0,0,0,0,0
1782,1,19.0,354038.0,0.37,0.29,0.03,0.07,0.84,0.08,0.15,110.0,heavy-metal,0,0,0,0,0
1788-l;tynan,1,35.0,212893.0,0.39,0.94,0.14,0.0,0.72,0.4,0.1,177.06,club,0,0,0,0,0
19,4,36.5,247631.33,0.51,0.74,0.04,0.12,0.04,0.3,0.6,99.59,j-pop,0,0,0,0,0
1986zig,1,0.0,136120.0,0.64,0.67,0.27,0.47,0.0,0.16,0.52,175.81,german,0,0,0,0,0
1986zig;ayliva,1,0.0,123280.0,0.67,0.72,0.04,0.01,0.0,0.4,0.46,173.99,german,0,0,0,0,0
1988;kukon,1,35.0,202533.0,0.64,0.38,0.14,0.13,0.01,0.13,0.12,139.91,electronic,0,0,0,0,0
1991,4,43.25,208018.75,0.51,0.9,0.04,0.01,0.41,0.14,0.29,173.96,drum-and-bass,0,0,0,0,0
1995,1,33.0,264626.0,0.63,0.7,0.27,0.38,0.0,0.14,0.83,87.8,french,0,0,0,0,0
1pliké140,2,0.0,191620.0,0.77,0.72,0.22,0.37,0.0,0.11,0.74,149.0,french,0,0,0,0,0
2 best enemies,1,22.0,378949.0,0.74,0.68,0.14,0.01,0.87,0.04,0.07,148.0,hardstyle,0,0,0,0,0
2 blyga läppar,7,40.29,203946.14,0.64,0.8,0.04,0.08,0.0,0.24,0.79,125.0,swedish,0,0,0,0,0
2 blyga läppar;drängarna,1,44.0,198718.0,0.6,0.75,0.04,0.03,0.0,0.35,0.56,140.03,swedish,0,0,0,0,0
2 brothers on the 4th floor,21,24.09,248115.41,0.63,0.89,0.05,0.04,0.21,0.24,0.63,139.28,happy,0,0,0,0,0
2 brothers on the 4th floor;ran-d,1,54.0,262550.0,0.54,0.93,0.08,0.01,0.0,0.11,0.12,154.87,happy,0,0,0,0,0
2 minutos,8,37.79,175233.36,0.46,0.96,0.07,0.0,0.02,0.29,0.56,107.9,ska,0,0,0,0,0
2002,6,22.17,327293.17,0.21,0.28,0.03,0.74,0.89,0.1,0.1,100.26,new-age,0,0,0,0,0
22 void beats;sneaky ollie;milano the don,1,38.0,118583.0,0.47,0.95,0.44,0.03,0.0,0.19,0.31,149.88,electronic,0,0,0,0,0
22 void beats;sneaky ollie;peter piffen,1,36.0,165708.0,0.65,0.89,0.07,0.05,0.0,0.33,0.76,145.06,electronic,0,0,0,0,0
220 kid;lany,1,68.0,166924.0,0.72,0.78,0.04,0.02,0.0,0.12,0.76,123.95,house,0,0,0,0,0
22gz,6,11.67,158085.17,0.87,0.58,0.51,0.18,0.0,0.12,0.5,142.96,r-n-b,0,0,0,0,0
22gz;kodak black,9,0.11,193970.0,0.87,0.8,0.5,0.1,0.0,0.1,0.35,140.89,r-n-b,0,0,0,0,0
23till,1,35.0,201933.0,0.52,0.92,0.07,0.0,0.0,0.25,0.83,93.83,swedish,0,0,0,0,0
24kgoldn;iann dior,1,83.0,140533.0,0.7,0.72,0.04,0.17,0.0,0.32,0.73,91.01,pop,0,0,0,0,0
24sju,1,23.0,100500.0,0.8,0.68,0.23,0.32,0.0,0.06,0.9,80.04,goth,0,0,0,0,0
250 kg kärlek;erik meduza,1,44.0,143814.0,0.54,0.79,0.39,0.12,0.0,0.35,0.34,104.03,swedish,0,0,0,0,0
250 kg kärlek;f.e.s.t;sofie svensson,1,43.0,165952.0,0.84,0.85,0.1,0.02,0.0,0.1,0.7,126.0,swedish,0,0,0,0,0
25th annual putnam county spelling bee original cast,14,29.36,145511.14,0.53,0.33,0.11,0.81,0.0,0.21,0.52,133.01,show-tunes,0,0,0,0,0
2baba,1,44.0,264360.0,0.58,0.78,0.09,0.38,0.0,0.19,0.84,77.89,dancehall,0,0,0,0,0
2gaudy,1,51.0,160038.0,0.86,0.47,0.34,0.14,0.0,0.1,0.63,95.95,sad,0,0,0,0,0
2nd grade,2,21.0,147200.0,0.46,0.91,0.05,0.0,0.0,0.28,0.67,125.79,power-pop,0,0,0,0,0
2pac,8,70.88,275956.38,0.79,0.72,0.22,0.13,0.0,0.21,0.62,99.3,funk,0,0,0,0,0
2pac;big syke,1,77.0,307773.0,0.87,0.72,0.25,0.03,0.0,0.33,0.84,93.28,funk,0,0,0,0,0
2pac;outlawz,1,81.0,312626.0,0.92,0.84,0.24,0.04,0.0,0.08,0.59,95.19,funk,0,0,0,0,0
2pac;rappin' 4-tay,1,68.0,296906.0,0.8,0.79,0.21,0.0,0.0,0.08,0.81,90.19,funk,0,0,0,0,0
2pac;roger;dr. dre,1,79.0,284906.0,0.76,0.85,0.04,0.03,0.0,0.37,0.76,91.52,funk,0,0,0,0,0
2pac;snoop dogg,1,69.0,246533.0,0.85,0.9,0.14,0.02,0.0,0.05,0.85,99.26,funk,0,0,0,0,0
2pac;talent,1,73.0,268826.0,0.86,0.66,0.07,0.05,0.0,0.22,0.33,111.11,funk,0,0,0,0,0
2r,1,23.0,229013.0,0.61,0.31,0.03,0.73,0.0,0.1,0.67,92.09,cantopop,0,0,0,0,0
2t;chris beats zn;tz da coronel;soudcrime,1,49.0,163000.0,0.58,0.64,0.04,0.03,0.0,0.42,0.24,119.94,funk,0,0,0,0,0
3 doors down,17,34.5,238534.86,0.56,0.71,0.03,0.06,0.0,0.16,0.37,122.03,grunge,0,0,0,0,0
3 doors down;bob seger,1,47.0,271373.0,0.48,0.49,0.03,0.51,0.0,0.12,0.14,147.43,grunge,0,0,0,0,0
3 doors down;jack joseph puig,2,54.5,239346.5,0.47,0.77,0.03,0.01,0.0,0.12,0.32,118.02,grunge,0,0,0,0,0
3 hürel,2,27.5,266139.5,0.63,0.44,0.04,0.18,0.22,0.09,0.68,129.86,psych-rock,0,0,0,0,0
3 pill morning,1,28.0,234040.0,0.41,0.97,0.11,0.0,0.0,0.08,0.44,170.07,metalcore,0,0,0,0,0
3 steps ahead,7,19.86,312018.86,0.49,0.89,0.07,0.0,0.21,0.4,0.31,136.93,happy,0,0,0,0,0
3 steps ahead;catscan;xess,1,19.0,384870.0,0.61,0.81,0.09,0.0,0.85,0.1,0.23,144.8,happy,0,0,0,0,0
3 steps ahead;tails;noizer;drokz,1,23.0,256733.0,0.48,0.98,0.21,0.0,0.08,0.4,0.27,190.25,happy,0,0,0,0,0
3030,7,45.86,215609.71,0.74,0.51,0.11,0.59,0.0,0.24,0.53,101.54,brazil,0,0,0,0,0
3030;lauana prado,1,48.0,180000.0,0.77,0.65,0.03,0.52,0.0,0.08,0.86,145.01,brazil,0,0,0,0,0
3030;rael,1,47.0,201200.0,0.9,0.52,0.04,0.31,0.0,0.11,0.78,110.01,brazil,0,0,0,0,0
31 minutos,15,40.21,138287.96,0.65,0.78,0.11,0.36,0.06,0.21,0.7,122.29,ska,0,0,0,0,0
31 minutos;c-lurio & area 31,1,36.0,170019.0,0.77,0.83,0.15,0.13,0.0,0.1,0.9,99.88,ska,0,0,0,0,0
31 minutos;corchetis,1,36.0,223364.0,0.67,0.86,0.05,0.09,0.0,0.13,0.73,127.9,ska,0,0,0,0,0
31 minutos;john quijada,1,36.0,116958.0,0.64,0.92,0.05,0.74,0.0,0.98,0.56,112.84,ska,0,0,0,0,0
31 minutos;johnny choapino,1,36.0,181920.0,0.67,0.91,0.05,0.54,0.0,0.24,0.86,125.1,ska,0,0,0,0,0
31 minutos;juantástico,1,32.0,117477.0,0.64,0.98,0.11,0.42,0.0,0.96,0.56,114.12,ska,0,0,0,0,0
31 minutos;las minilolas,1,35.0,186266.0,0.68,0.94,0.09,0.15,0.0,0.66,0.82,104.02,ska,0,0,0,0,0
31 minutos;pe & pa,1,38.5,163088.0,0.64,0.83,0.03,0.1,0.0,0.18,0.67,136.94,latino,0,0,0,0,0
31 minutos;pepelota,1,38.0,191905.0,0.61,0.85,0.08,0.72,0.0,0.59,0.42,116.34,latino,0,0,0,0,0
311,1,38.0,254106.0,0.61,0.86,0.1,0.0,0.0,0.2,0.8,153.55,metal,0,0,0,0,0
32 leaves,1,53.0,257866.0,0.41,0.69,0.03,0.0,0.05,0.1,0.19,142.99,grunge,0,0,0,0,0
347aidan,9,61.22,157979.0,0.79,0.48,0.13,0.57,0.0,0.26,0.49,118.74,sad,0,0,0,0,0
347aidan;kenny beats,1,61.0,123428.0,0.85,0.31,0.3,0.4,0.0,0.24,0.73,140.08,sad,0,0,0,0,0
36 crazyfists,6,19.6,213390.6,0.47,0.89,0.07,0.01,0.0,0.22,0.58,150.43,industrial,0,0,0,0,0
38 special,2,1.5,278943.5,0.46,0.75,0.03,0.01,0.0,0.06,0.86,128.96,country,0,0,0,0,0
3force,6,23.33,284033.0,0.43,0.77,0.04,0.03,0.79,0.12,0.06,135.37,club,0,0,0,0,0
3force;scandroid,1,38.0,270400.0,0.4,0.9,0.07,0.0,0.05,0.1,0.18,149.97,club,0,0,0,0,0
3lau;bright lights,2,24.0,210468.0,0.5,0.79,0.08,0.18,0.0,0.34,0.29,127.96,electronic,0,0,0,0,0
3lau;justin caruso;iselin,1,59.0,192941.0,0.57,0.75,0.03,0.02,0.0,0.11,0.25,102.04,electronic,0,0,0,0,0
3lau;ninja,1,52.0,156631.0,0.53,0.96,0.05,0.0,0.76,0.27,0.52,95.05,electronic,0,0,0,0,0
3oh!3,1,63.0,197601.0,0.64,0.86,0.29,0.03,0.0,0.23,0.58,92.91,punk,0,0,0,0,0
3oh!3;katy perry;matt squire,1,65.0,202666.0,0.61,0.8,0.06,0.0,0.0,0.23,0.23,139.89,punk,0,0,0,0,0
3teeth,1,45.0,208125.0,0.52,0.99,0.11,0.0,0.41,0.33,0.32,127.98,industrial,0,0,0,0,0
3x7 veintiuna,1,42.0,146173.0,0.55,0.62,0.04,0.38,0.0,0.09,0.74,122.65,folk,0,0,0,0,0
4 tune fairytales,3,21.33,247180.0,0.5,0.95,0.04,0.11,0.45,0.18,0.49,178.05,happy,0,0,0,0,0
4*town (from disney and pixar’s turning red);jordan fisher;finneas o'connell;topher ngo;grayson villanueva;josh levi,1,60.0,199906.0,0.62,0.36,0.03,0.18,0.0,0.12,0.22,120.08,disney,0,0,0,0,0
40 below summer,1,25.0,267613.0,0.34,0.89,0.1,0.0,0.0,0.07,0.46,103.78,industrial,0,0,0,0,0
44phantom,8,50.73,169848.73,0.62,0.67,0.06,0.13,0.0,0.13,0.54,129.16,emo,0,0,0,0,0
44phantom;machine gun kelly,1,69.0,149160.0,0.67,0.72,0.06,0.24,0.0,0.26,0.41,144.94,emo,0,0,0,0,0
450,1,31.0,170997.0,0.61,0.45,0.19,0.12,0.0,0.11,0.35,130.1,dancehall,0,0,0,0,0
450;weekday,1,29.0,179879.0,0.63,0.76,0.42,0.53,0.0,0.09,0.54,137.78,dancehall,0,0,0,0,0
48th st. collective,1,0.0,171039.0,0.64,0.4,0.03,0.79,0.12,0.09,0.44,108.06,jazz,0,0,0,0,0
4ever falling,1,47.0,160661.0,0.8,0.42,0.03,0.89,0.0,0.11,0.49,121.05,emo,0,0,0,0,0
4ever falling;auram,1,47.0,260500.0,0.71,0.26,0.05,0.64,0.01,0.09,0.15,120.02,emo,0,0,0,0,0
4hero,4,17.8,323967.6,0.63,0.64,0.05,0.09,0.14,0.22,0.55,139.5,drum-and-bass,0,0,0,0,0
4hero;carina andersson,1,54.0,365746.0,0.36,0.68,0.04,0.01,0.08,0.1,0.42,75.78,drum-and-bass,0,0,0,0,0
4hero;jill scott,1,27.0,297573.0,0.63,0.53,0.09,0.28,0.0,0.2,0.54,150.45,drum-and-bass,0,0,0,0,0
4hero;lady alma,1,19.0,311360.0,0.8,0.66,0.07,0.02,0.0,0.07,0.68,120.09,drum-and-bass,0,0,0,0,0
4i20;claudinho brasil;mandragora;devochka,1,44.0,339375.0,0.58,0.46,0.08,0.02,0.4,0.39,0.08,128.0,trance,0,0,0,0,0
4keus gang,1,32.0,221300.0,0.61,0.68,0.22,0.58,0.0,0.09,0.7,129.89,french,0,0,0,0,0
4to28,2,47.5,158917.5,0.67,0.55,0.05,0.15,0.85,0.24,0.75,141.26,study,0,0,0,0,0
4yye;b.baby,1,35.0,161333.0,0.88,0.45,0.21,0.18,0.0,0.11,0.19,120.02,swedish,0,0,0,0,0
5 a seco,1,46.0,180946.0,0.39,0.29,0.06,0.73,0.0,0.09,0.49,58.48,mpb,0,0,0,0,0
5 a seco;pedro altério;tó brandileone,1,48.0,199906.0,0.62,0.44,0.03,0.25,0.0,0.11,0.26,122.89,mpb,0,0,0,0,0
5 adım,1,37.0,212750.0,0.48,0.47,0.05,0.89,0.0,0.24,0.52,110.88,turkish,0,0,0,0,0
5 seconds of summer,2,80.0,204152.0,0.68,0.65,0.25,0.03,0.0,0.12,0.29,129.65,dance,0,0,0,0,0
50 cent,1,83.0,193466.0,0.9,0.71,0.37,0.26,0.0,0.07,0.78,90.05,hip-hop,0,0,0,0,0
509-e;dexter;afro-x,2,46.25,471786.0,0.66,0.57,0.28,0.3,0.0,0.22,0.77,96.02,r-n-b,0,0,0,0,0
50landing,1,46.0,284101.0,0.46,0.29,0.06,0.69,0.0,0.19,0.16,83.3,emo,0,0,0,0,0
53 thieves,2,54.0,195642.0,0.71,0.42,0.24,0.48,0.13,0.1,0.28,81.95,chill,0,0,0,0,0
6 dogs,1,56.0,96233.0,0.76,0.34,0.06,0.89,0.0,0.12,0.38,139.9,emo,0,0,0,0,0
6091,5,34.14,204974.71,0.69,0.56,0.08,0.47,0.37,0.25,0.33,143.57,electronic,0,0,0,0,0
6091;chai lenin,1,39.0,156500.0,0.52,0.34,0.06,0.19,0.83,0.09,0.14,160.0,electronic,0,0,0,0,0
6091;krameri,1,34.0,180000.0,0.71,0.29,0.05,0.96,0.13,0.43,0.26,103.95,electronic,0,0,0,0,0
6091;padmaja sreenivasan,1,26.0,158316.0,0.44,0.55,0.09,0.93,0.0,0.35,0.33,143.65,electronic,0,0,0,0,0
6091;rakhooo,2,40.0,172336.0,0.62,0.46,0.03,0.76,0.38,0.17,0.35,123.36,electronic,0,0,0,0,0
6091;sayanora philip,1,32.0,145548.0,0.45,0.44,0.18,0.79,0.55,0.37,0.61,116.18,electronic,0,0,0,0,0
6ejou,1,25.0,338666.0,0.59,0.96,0.16,0.04,0.97,0.13,0.34,179.99,techno,0,0,0,0,0
6ix9ine,10,60.6,142585.7,0.72,0.69,0.21,0.07,0.0,0.17,0.45,119.97,emo,0,0,0,0,0
6ix9ine;a boogie wit da hoodie,1,62.0,128769.0,0.77,0.81,0.15,0.09,0.0,0.12,0.65,97.41,emo,0,0,0,0,0
6ix9ine;akon,1,52.0,203333.0,0.65,0.78,0.12,0.03,0.0,0.3,0.5,89.98,emo,0,0,0,0,0
6ix9ine;anuel aa,2,75.0,212186.0,0.68,0.86,0.08,0.43,0.0,0.11,0.54,101.04,emo,0,0,0,0,0
6ix9ine;bobby shmurda,1,59.0,152000.0,0.73,0.63,0.4,0.13,0.0,0.16,0.83,149.99,emo,0,0,0,0,0
6ix9ine;dj spinking,1,62.0,154565.0,0.78,0.77,0.26,0.0,0.0,0.1,0.52,91.98,emo,0,0,0,0,0
6ix9ine;fetty wap;a boogie wit da hoodie,1,60.0,151914.0,0.6,0.86,0.3,0.03,0.0,0.4,0.47,187.98,emo,0,0,0,0,0
6ix9ine;leftside,1,48.0,137755.0,0.87,0.65,0.34,0.11,0.0,0.05,0.73,98.02,emo,0,0,0,0,0
6ix9ine;lil baby,1,55.0,135739.0,0.82,0.69,0.07,0.01,0.0,0.34,0.68,142.03,emo,0,0,0,0,0
6ix9ine;nicki minaj,1,64.0,202666.0,0.74,0.42,0.29,0.03,0.0,0.11,0.49,180.01,emo,0,0,0,0,0
6ix9ine;nicki minaj;kanye west,1,60.0,192405.0,0.76,0.67,0.22,0.09,0.0,0.14,0.44,160.08,emo,0,0,0,0,0
6ix9ine;nicki minaj;murda beatz,1,72.0,179404.0,0.93,0.39,0.41,0.09,0.0,0.14,0.38,125.98,emo,0,0,0,0,0
6ix9ine;tory lanez,1,65.0,136031.0,0.74,0.72,0.25,0.13,0.0,0.18,0.34,94.51,emo,0,0,0,0,0
6o,1,46.0,121874.0,0.51,0.66,0.25,0.45,0.0,0.17,0.48,80.6,emo,0,0,0,0,0
6t6,1,32.0,136770.0,0.9,0.47,0.24,0.76,0.0,0.28,0.5,113.12,dancehall,0,0,0,0,0
6t6;big smoak,2,34.5,162751.0,0.65,0.73,0.4,0.5,0.0,0.12,0.84,102.38,dancehall,0,0,0,0,0
6t6;marksman;silk boss;1biggs don;big smoak,1,33.0,194208.0,0.71,0.45,0.86,0.59,0.0,0.26,0.63,176.48,dancehall,0,0,0,0,0
6t6;skillibang;dj smoak,1,30.0,139258.0,0.87,0.41,0.54,0.7,0.0,0.31,0.35,109.69,dancehall,0,0,0,0,0
6t6;t.o.k;squash;rygin king,1,34.0,169351.0,0.68,0.42,0.84,0.06,0.0,0.11,0.64,120.87,dancehall,0,0,0,0,0
7 minutoz,13,43.54,221358.69,0.61,0.7,0.11,0.41,0.0,0.18,0.35,113.03,r-n-b,0,0,0,0,0
7 minutoz;dk 47,1,41.0,259959.0,0.83,0.78,0.06,0.32,0.0,0.26,0.7,112.0,r-n-b,0,0,0,0,0
7 minutoz;sid;rod 3030,1,44.0,292819.0,0.75,0.73,0.16,0.38,0.0,0.2,0.64,100.05,r-n-b,0,0,0,0,0
7!!,2,59.0,286086.5,0.42,0.72,0.09,0.09,0.0,0.09,0.49,167.7,anime,0,0,0,0,0
7evin7ins,1,56.0,108000.0,0.64,0.46,0.34,0.13,0.0,0.11,0.52,179.95,sad,0,0,0,0,0
7horse,1,51.0,221599.0,0.39,0.95,0.16,0.14,0.0,0.1,0.46,79.63,blues,0,0,0,0,0
7ru7h,1,48.0,173893.0,0.66,0.67,0.05,0.05,0.0,0.08,0.54,166.94,emo,0,0,0,0,0
8 graves,1,54.0,217010.0,0.53,0.82,0.1,0.23,0.0,0.27,0.39,155.07,blues,0,0,0,0,0
8 kalacas,2,31.5,222443.5,0.35,0.96,0.08,0.02,0.0,0.14,0.61,144.82,ska,0,0,0,0,0
80purppp,3,69.2,115755.4,0.8,0.42,0.17,0.82,0.13,0.16,0.54,115.64,sad,0,0,0,0,0
831,1,63.0,239794.0,0.55,0.67,0.04,0.4,0.0,0.14,0.43,129.81,mandopop,0,0,0,0,0
88glam,1,63.0,180813.0,0.76,0.67,0.07,0.02,0.0,0.1,0.59,150.02,soul,0,0,0,0,0
89ine,1,45.0,215872.0,0.6,0.3,0.04,0.1,0.24,0.11,0.08,96.02,chill,0,0,0,0,0
8kays;diana miro;jerome isma-ae,1,50.0,236258.0,0.71,0.67,0.04,0.02,0.87,0.17,0.13,123.99,electronic,0,0,0,0,0
8percent,1,66.0,87408.0,0.8,0.38,0.33,0.85,0.0,0.23,0.55,110.0,chill,0,0,0,0,0
8th sin;mandragora,1,42.0,394782.0,0.71,0.65,0.06,0.03,0.52,0.2,0.07,138.0,trance,0,0,0,0,0
9 lazy 9,3,50.0,207004.0,0.74,0.47,0.04,0.46,0.81,0.13,0.65,109.01,trip-hop,0,0,0,0,0
91 all stars;le risque;zokush;daks,1,34.0,208733.0,0.7,0.8,0.11,0.26,0.0,0.28,0.57,140.0,french,0,0,0,0,0
916frosty,3,53.6,256426.4,0.53,0.63,0.17,0.38,0.0,0.29,0.33,115.49,emo,0,0,0,0,0
916frosty;joey melrose,1,49.0,248035.0,0.63,0.86,0.15,0.02,0.0,0.08,0.59,160.03,emo,0,0,0,0,0
92914,1,61.0,348445.0,0.74,0.17,0.06,0.93,0.16,0.66,0.38,147.85,chill,0,0,0,0,0
9mm parabellum bullet,5,7.0,180999.33,0.37,0.94,0.11,0.0,0.01,0.32,0.58,163.74,hardcore,0,0,0,0,0
9smkr;shiloh dynasty,1,47.0,57877.0,0.79,0.03,0.09,0.96,0.56,0.15,0.68,106.0,sad,0,0,0,0,0
:wumpscut:,1,20.0,281493.0,0.53,0.78,0.03,0.01,0.68,0.65,0.29,100.0,industrial,0,0,0,0,0
=love,33,31.4,253851.9,0.53,0.9,0.07,0.11,0.07,0.2,0.62,144.64,j-idol,0,0,0,0,0
? & the mysterians,1,40.0,176866.0,0.65,0.56,0.03,0.06,0.0,0.08,0.88,123.67,garage,0,0,0,0,0
[:sitd:];dennis schober,1,22.0,447386.0,0.51,0.89,0.04,0.17,0.07,0.13,0.28,105.01,industrial,0,0,0,0,0
[alexandros],6,21.0,251065.23,0.51,0.94,0.08,0.0,0.01,0.14,0.5,118.32,j-rock,0,0,0,0,0
[bsd.u],2,58.5,104320.0,0.8,0.26,0.16,0.27,0.86,0.24,0.86,78.53,chill,0,0,0,0,0
a banda mais bonita da cidade,1,40.5,227853.0,0.37,0.16,0.04,0.6,0.0,0.11,0.27,182.07,mpb,0,0,0,0,0
a crowd of rebellion,2,30.5,230865.5,0.36,0.98,0.21,0.0,0.32,0.23,0.24,106.74,j-idol,0,0,0,0,0
a dama,1,54.0,112941.0,0.77,0.54,0.17,0.39,0.0,0.31,0.76,123.45,pagode,0,0,0,0,0
a day to remember,22,44.43,216646.22,0.4,0.92,0.15,0.01,0.0,0.33,0.34,133.33,metalcore,0,0,0,0,0
a família,2,46.33,430697.33,0.8,0.81,0.43,0.29,0.0,0.06,0.72,100.81,r-n-b,0,0,0,0,0
a feast for kings,1,23.0,289043.0,0.49,0.99,0.12,0.0,0.03,0.09,0.21,115.0,metalcore,0,0,0,0,0
a fine frenzy,1,57.0,268800.0,0.55,0.24,0.03,0.95,0.0,0.11,0.17,119.58,acoustic,0,0,0,0,0
a flock of seagulls,7,44.29,239193.86,0.51,0.76,0.03,0.0,0.63,0.15,0.69,146.99,synth-pop,1,1,2017,2017,1
a forest mighty black,2,32.5,283093.0,0.62,0.75,0.03,0.15,0.89,0.13,0.55,101.27,trip-hop,0,0,0,0,0
a great big world,7,51.69,218863.23,0.52,0.32,0.04,0.7,0.0,0.1,0.27,120.08,acoustic,0,0,0,0,0
